,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
519,1677886636.640632,10.97229682807816,-13.865184846888905,0.0,0.0,-0.7270609203838088,0.6865729517324789,0.03531908363868297,0.02675988209142588,0.00611874217252178
520,1677886637.245786,10.90063119703599,-13.292674891241461,0.0,0.0,-0.7318591228767279,0.6814559591507776,0.024691125736310937,0.027276268111734225,0.004974032558677572
521,1677886637.750086,10.879992112814717,-12.73763884292648,0.0,0.0,-0.7376096816006035,0.6752273377234191,0.014809636868477583,0.02671523664923825,0.004131237827527373
522,1677886638.35524,10.900912868327403,-12.210301886849187,0.0,0.0,-0.747396119205102,0.6643786879462292,0.012285061304751821,0.024642822279133725,0.003969683595325113
523,1677886638.85954,10.935372476665155,-11.666775294513894,0.0,0.0,-0.731997224215085,0.6813076131538607,0.012764108987852296,0.026090365732898135,0.004244490168472014
524,1677886639.363834,10.955841328641247,-11.182957802860942,0.0,0.0,-0.7430162436270151,0.6692733833840998,0.01219711134052659,0.026842170550608557,0.003927601278621205
525,1677886639.868134,10.976927478879452,-10.695397980104635,0.0,0.0,-0.7343423276266872,0.6787793057068101,0.011718844207692314,0.02797704729448469,0.0036894284383990864
526,1677886640.473287,10.994614053574054,-10.147245540064116,0.0,0.0,-0.7184017439453659,0.6956284455772758,0.011460871518849558,0.02911544182279613,0.0038001286140800137
527,1677886641.078442,10.999156382142251,-9.628139689931492,0.0,0.0,-0.7281057634257423,0.6854648038128704,0.01169677450965878,0.031267573369646584,0.0038337688309749234
528,1677886641.683602,11.0410182276666,-9.098303221237082,0.0,0.0,-0.7372473436516268,0.6756229379458782,0.013850473603113755,0.03351776869118339,0.004224397518497615
529,1677886642.288756,11.116053732282426,-8.599394789494841,0.0,0.0,-0.7482156049941233,0.6634556567271682,0.016230722774267292,0.03207554090286635,0.003948098545415611
530,1677886642.994775,11.200295023936901,-8.1296792588692,0.0,0.0,-0.7518824749372318,0.6592971590127346,0.01822468590502524,0.030464256393258893,0.0038686328089732828
