stamp, x, y, theta
 1.67789e+09,8.34276, 8.7269, 1.79227
 1.67789e+09,8.30033, 8.2859, 1.6342
 1.67789e+09,8.22084, 7.80956, 1.63456
 1.67789e+09,8.1316, 7.33861, 1.64326
 1.67789e+09,8.11946, 6.86119, 1.69901
 1.67789e+09,8.13179, 6.24176, 1.94982
 1.67789e+09,8.55489, 5.92784, 2.45422
 1.67789e+09,8.87954, 5.7258, 2.83362
 1.67789e+09,9.31672, 5.49647, 3.10262
 1.67789e+09,9.80856, 5.44431, 0.0324341
 1.67789e+09,10.3637, 5.43527, 0.0965953
 1.67789e+09,10.8369, 5.46623, 0.0465016
 1.67789e+09,11.2912, 5.47094, 0.0281243
 1.67789e+09,11.7779, 5.47191, 3.13155
 1.67789e+09,12.3234, 5.46256, 3.13853
 1.67789e+09,12.8895, 5.45649, 0.0114415
 1.67789e+09,13.4058, 5.44274, 0.0330374
 1.67789e+09,13.9299, 5.42754, 0.0690292
 1.67789e+09,14.4414, 5.52479, 0.0715913
 1.67789e+09,14.8428, 5.38271, 0.0378071
 1.67789e+09,15.2736, 5.31341, 0.0214632
 1.67789e+09,15.76, 5.28471, 3.12575
 1.67789e+09,16.2441, 5.24096, 3.13985
 1.67789e+09,16.7735, 5.18656, 3.11919
 1.67789e+09,17.245, 5.1528, 3.1182
 1.67789e+09,17.7623, 5.12368, 3.12669
 1.67789e+09,18.3308, 5.09819, 0.00022906
 1.67789e+09,18.819, 5.06278, 0.0033472
 1.67789e+09,19.3592, 5.03258, 0.00659621
 1.67789e+09,19.9109, 5.0091, 0.0291217
 1.67789e+09,20.4323, 4.93408, 0.0155746
 1.67789e+09,20.9941, 4.89727, 3.07564
 1.67789e+09,21.5318, 4.85309, 3.04553
 1.67789e+09,22.0259, 4.78392, 3.01158
 1.67789e+09,22.479, 4.70186, 2.92401
 1.67789e+09,22.9921, 4.34906, 2.63077
 1.67789e+09,23.4093, 3.8803, 2.37563
 1.67789e+09,23.6712, 3.2536, 2.08422
 1.67789e+09,23.7871, 2.7186, 1.82983
 1.67789e+09,23.8275, 2.26546, 1.75495
 1.67789e+09,23.8783, 1.83421, 1.68707
 1.67789e+09,23.8306, 1.35433, 1.63997
 1.67789e+09,23.7971, 0.840837, 1.61824
 1.67789e+09,23.6878, 0.37116, 1.49267
 1.67789e+09,23.5476, -0.0860934, 1.3941
 1.67789e+09,23.1928, -0.563623, 1.06407
 1.67789e+09,22.5826, -0.99407, 0.543266
 1.67789e+09,22.1341, -1.08897, 0.331975
 1.67789e+09,21.5752, -1.14888, 0.187934
 1.67789e+09,21.1235, -1.18174, 0.131666
 1.67789e+09,20.5909, -1.17265, 0.0617506
 1.67789e+09,20.0819, -1.17595, 0.0297301
 1.67789e+09,19.558, -1.12925, 3.12555
 1.67789e+09,19.1009, -1.11043, 3.1138
 1.67789e+09,18.6162, -1.04182, 3.11517
 1.67789e+09,18.116, -0.98299, 3.04492
 1.67789e+09,17.6359, -0.921894, 3.00939
 1.67789e+09,17.1708, -0.893031, 3.00454
